entry,date_observed,year_observed,month_observed ,JulianDay_observed,county,region,firefly_count
59,6/27/2015,2015,6,178,Grand,south,6
60,6/27/2015,2015,6,178,Grand,south,6
406,8/13/2019,2019,8,225,Grand,south,3
646,5/5/1982,1982,5,125,Grand,south,3
181,6/30/2015,2015,6,181,Iron,south,1
433,6/6/2020,2020,6,158,Iron,south,3
7,7/1/1986,1986,7,182,Juab,south,1
36,6/20/1987,1987,6,171,Juab,south,1
64,6/25/2015,2015,6,176,Kane,south,4
284,6/11/2018,2018,6,162,Kane,south,1
332,6/1/1991,1991,6,152,Kane,south,100
340,8/11/2018,2018,8,223,Kane,south,3
389,7/6/2019,2019,7,187,Kane,south,1
394,7/11/2019,2019,7,192,Kane,south,50
639,5/21/1989,1989,5,141,Kane,south,1
666,7/5/2022,2022,7,186,Kane,south,7
319,6/21/2018,2018,6,172,Kane,south,4
428,5/30/2020,2020,5,151,Kane,south,3
132,5/31/2009,2009,5,151,Kane,south,2
150,9/23/2011,2011,9,266,Kane,south,1
160,6/8/2016,2016,6,160,Kane,south,6
26,6/23/2023,2023,6,174,Kane,south,2
185,6/4/2024,2024,6,156,Kane,south,5
571,6/24/2020,2020,6,176,San Juan,south,1
402,7/19/2019,2019,7,200,San Juan,south,1
276,6/5/2018,2018,6,156,San Juan,south,2
303,6/16/2018,2018,6,167,Sanpete,south,1
66,6/10/2015,2015,6,161,Sanpete,south,1
125,6/1/2010,2010,6,152,Sanpete,south,15
189,6/18/2016,2016,6,170,Sanpete,south,1
286,6/12/2018,2018,6,163,Sanpete,south,50
327,6/24/2018,2018,6,175,Sanpete,south,1
337,6/16/2018,2018,6,167,Sanpete,south,6
342,8/2/2018,2018,8,214,Sanpete,south,1
344,6/12/2016,2016,6,164,Sanpete,south,4
345,6/12/2015,2015,6,163,Sanpete,south,2
441,6/21/2020,2020,6,173,Sanpete,south,2
622,6/11/2021,2021,6,162,Sanpete,south,3
249,6/22/2016,2016,6,174,Sevier,south,10
255,6/4/2017,2017,6,155,Sevier,south,5
264,6/7/2018,2018,6,158,Sevier,south,1000
265,6/7/2018,2018,6,158,Sevier,south,1000
315,6/13/2018,2018,6,164,Sevier,south,1
297,6/13/2018,2018,6,164,Sevier,south,20
15,6/15/2023,2023,6,166,Sevier,south,1
3,6/21/2014,2014,6,172,Washington,south,1
4,6/28/2014,2014,6,179,Washington,south,1
186,5/17/2015,2015,5,137,Washington,south,1
191,5/1/2017,2017,5,121,Washington,south,1
510,6/6/2021,2021,6,157,Washington,south,1
216,6/19/2024,2024,6,171,Washington,south,1
347,4/23/2019,2019,4,113,Wayne,south,1
